User,User_type,Download (Rx) bandwidth (bps)_1,Rx packet loss (percent)_1,Upload (Tx) bandwidth (bps)_1,Tx packet loss (percent)_1,RTT (ping) (ms)_1,Rx packet loss burst length (packets)_1,Tx packet loss burst length (packets)_1,Rx instant jitter (ms)_1,Tx instant jitter (ms)_1,Rx RFC3550 jitter (ms)_1,Tx RFC3550 jitter (ms)_1,Download (Rx) bandwidth (bps)_2,Rx packet loss (percent)_2,Upload (Tx) bandwidth (bps)_2,Tx packet loss (percent)_2,RTT (ping) (ms)_2,Rx packet loss burst length (packets)_2,Tx packet loss burst length (packets)_2,Rx instant jitter (ms)_2,Tx instant jitter (ms)_2,Rx RFC3550 jitter (ms)_2,Tx RFC3550 jitter (ms)_2,Download (Rx) bandwidth (bps)_3,Rx packet loss (percent)_3,Upload (Tx) bandwidth (bps)_3,Tx packet loss (percent)_3,RTT (ping) (ms)_3,Rx packet loss burst length (packets)_3,Tx packet loss burst length (packets)_3,Rx instant jitter (ms)_3,Tx instant jitter (ms)_3,Rx RFC3550 jitter (ms)_3,Tx RFC3550 jitter (ms)_3,network
1,2,3949002.8,4.7336693,378420.03,12.662937,148,1.2747741,1.3650203,16.0961,3.1904,4.8782525,0.9578352,3490439.5,3.5204713,1167638.5,9.872121,117.2459,2.1012018,1.6201698,16.1348,7.6457996,5.5330963,1.6025908,3613058,3.9464343,671351.7,7.065348,135,1.2899287,1.4431189,14.4487,70.3748,6.1899896,10.654467,2
1,2,4088647,4.031135,395695.75,14.410375,148,1.1522044,1.4149139,16.6647,2.4150999,5.7413683,0.82428265,3319676.5,4.230803,992452.06,9.343785,140,2.2257252,1.5523268,13.2745,12.8642,5.304149,8.577289,3673470,4.1262426,746488.94,6.3398175,127.674805,1.2713647,1.3968561,19.5354,2.6827,6.050766,5.572047,
1,2,4135987,3.4738026,550155.94,14.625046,152,1.1337124,1.3866055,14.552099,2.4701,5.6591787,0.8067844,3397924.2,5.1624312,1047452.9,9.121393,140,2.2257245,1.6141658,14.843599,4.871,5.1899247,1.266482,3579551.5,4.1225247,611525.1,6.2941494,127.674805,1.1914471,1.3403836,149.6866,148.6778,13.946623,11.52855,
1,2,3941158.5,3.3611455,648375.75,14.810949,126,1.175966,1.3062764,16.409899,4.5955997,6.650016,1.1978418,3283931.2,4.6986794,1070641.2,8.672885,141.6854,2.1945517,1.6298091,14.801,25.1173,5.1947784,4.9867864,3499977.5,4.387134,577855.56,7.119459,164,1.2297767,1.3517339,20.2862,2.0293,5.4684734,0.85120696,
1,2,4012540.5,3.9343617,678743.44,14.012262,126,1.187087,1.3323053,18.2332,3.3465,5.642185,1.0523442,3189161.2,5.334957,1124782.1,8.672885,141.6854,2.4331496,1.6298091,113.4209,6.0274997,12.973253,2.303483,3577466,4.5808516,656333.56,8.08964,127,1.2768224,1.3856944,24.5147,7.7138996,6.8847203,1.3212554,
1,2,4203031,4.162191,683831.5,11.619457,144,1.1494757,1.283943,15.541699,3.6504,5.5944867,0.98336184,2913609.8,4.158211,1122508.8,8.036052,107.9427,1.1701075,1.5669662,18.3468,0.121199995,5.5672503,4.6495748,3423519,4.7805214,718372.4,8.08964,127,1.732788,1.3856944,17.1076,3.4492998,5.1722994,1.4570656,
1,2,4072265.2,4.3983207,685384.9,11.2849045,144,1.1770288,1.3698766,13.6361,5.132,5.218351,1.2677171,2969321.8,4.1646214,1177651.2,8.092266,89,1.6677119,1.566966,11.7704,0.0971,4.957311,1.7145302,3051325.5,4.893514,642164.9,8.079572,142,1.8358159,1.4113013,12.474899,6.1582,5.500673,1.9335836,
1,2,4141996.2,4.513588,529095.25,10.530174,181,1.1531374,1.3553855,23.421099,5.8329,6.2169714,1.6755608,2800216.5,4.242022,1180070,8.177443,70,1.1701078,1.5669646,27.083899,0.3841,7.09074,2.844739,3062140,5.0825963,683543.75,8.660288,122,1.1840057,1.5279105,23.6898,11.8269,5.4200945,4.399262,
1,2,4316111,4.6572356,531080.9,10.701526,174,1.1873466,1.366604,20.8091,6.3472,6.1052423,1.6755608,2987847.2,0.5928196,1075621.4,8.177443,115.9573,1.0003042,1.5669645,10.3001995,0.3841,4.9571457,2.4210787,3136807,6.332008,686249.7,7.777378,122,1.1840053,1.4159026,18.4628,27.084799,6.133212,6.270891,
1,2,3981410.5,5.0506554,561953,9.405897,159,1.2176745,1.3334723,19.527,5.8882,6.331221,1.7900815,3364253.2,0.60562485,934753.75,7.8198376,167,1.0003041,1.6124966,8.7719,23.6539,4.8058968,6.8143153,3147380,7.1706667,523071.97,9.187092,150,1.3415542,1.483938,14.2652,7.0674,5.26495,6.3507943,
1,2,3521018,5.464226,537993.7,9.452454,159,1.2529079,1.3564602,18.463,2.8629,5.437784,1.3184687,3685420.5,0.61658496,926951.4,7.9848857,112,1.0003041,1.6556507,29.0742,102.115,12.823895,13.234146,3332149.8,4.5455017,558510.94,8.7517185,150,1.1176629,1.4991426,129.20279,3.8932998,12.109314,0.7666168,2
1,2,3608733.5,6.261713,621205.8,8.899111,86,1.277459,1.4148585,18.070599,3.4642,5.949736,1.1777875,3695380.2,0.6765525,833076.3,7.9848886,112,1.0003041,1.6556512,114.576096,105.2025,15.377072,13.248159,3738108.5,3.7252908,585879.6,8.331449,154,1.1863022,1.5229626,23.8119,1.5652,6.3513036,2.0532398,
1,2,3452846,6.155746,622332.5,8.664231,86,1.2341807,1.367192,17.795,4.7957,5.06175,1.2641559,3766207.2,0.6713014,915224.75,9.002982,122,2.530625,1.6691582,40.1758,82.626495,15.558569,12.449905,3788398.5,3.463669,565083.4,8.612989,158,1.1243834,1.6759337,27.2066,34.338398,6.4884996,6.8628035,
1,2,3499154.2,6.7422523,602479,7.8700953,164,1.274606,1.3464216,13.325399,3.6118999,4.590397,1.0404725,3745630,1.3082162,936986.5,9.8582,122,1.0003039,1.7320338,67.0162,82.626495,14.864298,15.0039215,3651951.8,3.312165,577390.25,7.456536,155,1.1647264,1.4566091,28.664,15.2876,6.866699,2.2612233,
1,2,3739281.2,6.3070116,539600.2,10.19489,154,1.1860132,1.368047,10.9309,2.1397,5.0214686,0.9351899,3520708.5,1.5783993,910257.44,9.835268,140.1392,2.530623,1.7341808,97.86269,92.1961,14.794545,12.233999,3672258,3.8465598,624663.5,8.812845,130,1.176198,1.4136808,22.861,5.8002996,5.6661243,1.6080084,
1,2,3993079.5,4.750302,574547.2,9.260887,154,1.2544398,1.4397155,20.2696,3.2531,5.194845,0.9351899,3403367,0.057979215,931384,10.4645815,126,1.041173,1.6770017,113.746796,111.3424,16.519913,17.327784,3613226.2,3.7620704,618882.94,10.34899,130,1.1418996,1.4329605,25.9296,2.3758,6.427737,0.63736373,
